,shop,1st,location
412,훼미리로또,3,서울 동작구 신대방동 395-68102호
413,1등로또복권,2,광주 서구 광천동 49-1번지 광주종합터미널 내 영풍문고 앞
414,1등로또복권방,2,경기 의정부시 용현동 266-10번지
415,1등복권방,2,울산 울주군 언양읍 반송리 253번지
416,1등복권방,2,울산 울주군 언양읍 남부리 115-2우리들편의점내
417,24시슈퍼,2,경기 군포시 산본동 1142-5 금화프라자102호
418,5가로또레드탑,2,서울 종로구 종로5가 182-3번지
419,CN마트,2,울산 동구 화정동 847-4 1층102호
420,CU(구미원평점),2,경북 구미시 원평동 1049번지
421,CU(구월프랜드점),2,인천 남동구 구월동 1191-10번지
422,CU(도화향기점),2,인천 남구 도화동 119-43 1층 CU
423,CU(동해발한점),2,강원 동해시 발한동 39-14번지
424,CU(마산경남대점),2,경남 창원시 마산합포구 월영동 430-31 1층 CU편의점
425,CU(성북진영점),2,서울 성북구 종암동 10-78
426,CU(소피텔점),2,서울 중구 묵정동 18-9번지
427,CU(안산와동점),2,경기 안산시 단원구 와동 679-7
428,CU(역촌제일점),2,서울 은평구 역촌동 78-45
429,CU(원종깨비점),2,경기 부천시 원종동 280-9번지 CU원종깨비점
